NBHD_ID,NBRHD_NAME,POPULATION_2010,HOUSINGUNITS_2010,km2,Crimes 2013,311 2013,Foreclosures 2012,liquor licenses,score,rank
1,Athmar Park,8898,2960,4,1055,3074,53,35,55.3,65
2,Auraria,705,69,1.67,373,197,0,13,41.3,40
3,Baker,4879,2697,3.86,1193,2709,17,37,55.6,66
4,Barnum,6111,1915,2,551,2806,35,4,46.1,50
5,Barnum West,5376,1811,1.87,368,2216,41,2,40.0,38
6,Bear Valley,8889,3819,3.5,373,1475,27,6,19.3,9
7,Belcaro,4172,2444,3.02,207,1302,9,13,25.0,14
8,Berkeley,8112,4322,3.88,615,2649,32,48,46.9,52
9,Capitol Hill,14708,11757,1.75,2557,4115,37,83,57.1,71
10,CBD,3648,3257,1.12,2557,1583,7,151,64.6,78
11,Chaffee Park,3874,1497,2.04,362,1205,29,9,43.1,43
12,Cheesman Park,7971,5834,1.36,924,2100,18,20,51.6,61
13,Cherry Creek,5589,4163,2.17,575,2046,13,61,53.3,62
14,City Park,2907,1851,1.99,285,875,9,20,44.0,46
15,City Park West,4844,2821,1.39,744,1751,15,40,61.3,77
16,Civic Center,1577,1345,0.79,842,694,2,27,58.7,72
17,Clayton,4336,1619,2,388,1958,23,4,41.1,39
18,Cole,4651,1789,1.33,698,1847,27,9,60.0,75
19,College View / South Platte,6498,2241,3.78,600,1914,42,16,39.7,37
20,Congress Park,10235,6208,2.67,664,2703,22,30,43.4,45
21,Cory - Merrill,3892,1862,2.17,297,1320,8,9,33.1,25
22,Country Club,3001,1364,1.68,127,852,4,6,20.1,11
23,DIA,1165,547,108.83,558,291,17,48,36.3,30
24,East Colfax,10191,4618,2.77,1755,4195,49,18,59.4,73
25,Elyria Swansea,6401,1844,6.72,684,2302,22,18,38.9,35
26,Five Points,12712,7147,4.55,2837,4846,29,125,60.4,76
27,Fort Logan,8532,3459,6.87,230,1430,54,2,12.7,3
28,Gateway / Green Valley Ranch,29201,9900,19.07,1201,6029,337,27,20.3,12
29,Globeville,3687,1157,5.33,539,1427,13,23,44.1,47
30,Goldsmith,5808,2978,2,368,884,6,12,31.0,23
31,Hale,6936,4310,2.52,405,1950,15,21,37.6,33
32,Hampden,17547,9917,7.31,805,3163,63,34,25.9,16
33,Hampden South,14370,7787,7.54,518,2718,53,51,28.0,19
34,Harvey Park,11525,4239,4.37,549,3238,73,20,35.6,28
35,Harvey Park South,8393,3255,3.54,512,1941,27,5,25.0,15
36,Highland,8429,4683,2.99,867,3079,17,75,54.1,64
37,Hilltop,8190,3568,4.46,249,2279,4,2,10.1,2
38,Indian Creek,3096,1874,1.26,106,632,14,0,16.0,5
39,Jefferson Park,2552,1358,1.27,501,1260,4,24,56.0,68
40,Kennedy,4464,2591,1.82,191,361,0,6,16.9,6
41,Lincoln Park,6119,2903,3.31,1449,2344,24,31,57.0,70
42,Lowry Field,8067,4113,6.68,441,1669,12,12,14.9,4
43,Mar Lee,12452,4198,3.9,768,3957,88,14,41.4,41
44,Marston,11132,5462,8.21,328,1829,55,25,17.3,7
45,Montbello,30348,8516,13.11,1823,7826,250,17,28.9,20
46,Montclair,5456,2871,2.62,401,1748,24,24,44.6,49
47,North Capitol Hill,5823,4213,0.91,1083,1436,12,64,55.9,67
48,North Park Hill,9382,4038,3.87,440,2984,57,2,25.9,17
49,Northeast Park Hill,7822,3013,8.63,819,2940,42,20,38.9,34
50,Overland,2218,1289,2.91,473,1357,13,14,49.4,56
51,Platt Park,5393,2840,2.12,495,2032,8,32,49.7,58
52,Regis,3934,1686,2.64,301,1116,23,14,37.4,32
53,Rosedale,2553,1380,1.46,155,842,8,8,35.1,27
54,Ruby Hill,9820,3540,3.76,841,3065,62,13,42.0,42
55,Skyland,3106,1506,1.98,219,1263,15,4,33.6,26
56,Sloan Lake,7238,3754,3.62,519,2718,18,7,30.7,22
57,South Park Hill,8590,3635,3.86,453,2490,18,27,35.9,29
58,Southmoor Park,3826,2686,2.41,185,735,10,7,18.4,8
59,Speer,10954,7965,2.21,927,3208,19,72,49.4,57
60,Stapleton,13948,4338,23.27,1848,4896,29,57,36.6,31
61,Sun Valley,1448,474,1.66,537,800,0,9,44.6,48
62,Sunnyside,9726,4053,3.69,996,3189,31,21,47.6,54
63,Union Station,4348,3618,1.14,1122,1266,10,177,59.4,74
64,University,9375,3969,3.23,492,2019,21,31,39.1,36
65,University Hills,5327,2644,3.76,426,1846,27,26,43.3,44
66,University Park,7491,4025,3.01,361,1744,14,9,23.0,13
67,Valverde,3941,1245,2.49,688,2396,27,16,56.4,69
68,Villa Park,8758,3066,2.56,663,3418,59,13,50.3,59
69,Virginia Village,12844,6591,5.03,582,2992,27,24,26.9,18
70,Washington Park,6905,3519,3.91,358,2383,12,21,30.1,21
71,Washington Park West,6393,3591,2.26,520,2210,17,16,46.6,51
72,Washington Virginia Vale,13030,7154,4.74,683,2408,30,31,32.1,24
73,Wellshire,3133,1387,2.4,79,768,5,2,9.4,1
74,West Colfax,9740,4049,2.6,994,3316,26,21,53.3,63
75,West Highland,8540,4512,2.91,542,2598,30,39,47.0,53
76,Westwood,15486,4717,3.88,1421,5054,71,21,51.1,60
77,Whittier,4831,2150,1.46,529,1944,24,4,49.3,55
78,Windsor,12589,8210,4.43,442,1531,39,9,19.6,10
